# タグ0個のまま公開された記事に、後からハッシュタグを付けるための一覧。
# 形式: note_id <TAB> タグ（スペース区切り・#付き）   ※ # 行と空行は無視
# 処理が済んだ行は先頭に DONE を付ける（set_tags.py が自動で付ける）
#
# ★2026-09-23: 公開済み196本のうち **39本がタグ0個**で出ていた（2026-08-25〜09-18）。
#   publish_to_note.py は記事に `## ハッシュタグ` ブロックが無ければ黙って0個で公開する。
#   その時期の記事にブロックが無かった。note ではタグが発見経路なので露出が構造的に落ちる。
#   39本すべてに `## ハッシュタグ` を入れ直したうえで、ここから公開済みの投稿にも反映する。
#
#   owner の Mac で:
#     cd ~/agent-team-run && bash ops/fix_tags.sh --probe   ← まず実測（何も変えない）
#     cd ~/agent-team-run && bash ops/fix_tags.sh           ← 実際に付ける
DONE	ncb6c6912f70a	#富山旅行 #氷見 #高岡 #モデルコース #富山 #japan #Toyama
DONE	n0489cfead712	#お盆 #帰省 #夏祭り #富山 #暮らし #japan #Toyama
DONE	n27778fd0e61f	#富山 #立山 #夏 #避暑 #気候 #japan #Toyama
DONE	n243de4f07b29	#氷見 #漁港 #朝の港 #富山 #食 #japan #Himi
DONE	nf6f6a1000aa4	#高岡 #町歩き #歴史 #富山 #観光 #japan #Takaoka
DONE	n3864cc909552	#高岡コロッケ #コロッケ #高岡 #富山 #ご当地グルメ #japan #Toyama
DONE	n18bdc02fb5e0	#田んぼ #稲 #富山 #秋 #風景 #japan #Toyama
DONE	n7767e1fb0ccc	#水道水 #名水 #立山 #富山 #暮らし #japan #Toyama
DONE	n9135a4cca98c	#コスモス #秋の花 #富山 #季節 #japan #Toyama
DONE	n2d4f04f08ab5	#二百十日 #台風 #稲 #富山 #暦 #japan #Toyama
DONE	n59040531a80a	#新米 #米 #富山 #秋 #食 #japan #Toyama
DONE	n9c061eacd454	#十五夜 #月見 #秋 #富山 #年中行事 #japan #Toyama
DONE	n969249cd6538	#彼岸花 #秋の花 #田んぼ #富山 #季節 #japan #Toyama
DONE	nd14bddf5ff9d	#鉄道 #路面電車 #富山 #交通 #暮らし #japan #Toyama
DONE	n8816235bcecd	#梨 #果物 #富山 #秋 #食 #japan #Toyama
DONE	n936820e10c65	#共働き #富山 #暮らし #働き方 #japan #Toyama
DONE	nfcb35ebb2f13	#獅子舞 #秋祭り #富山 #伝統芸能 #japan #Toyama
DONE	nac4021320e0b	#栗ご飯 #栗 #秋の味覚 #富山 #食 #japan #Toyama
DONE	n5f114cef1412	#虫の声 #秋 #日本語 #富山 #文化 #japan #Toyama
DONE	n7a7a27ae06a6	#初冠雪 #立山 #富山 #秋 #自然 #japan #Toyama
DONE	n39cce2db71eb	#干し柿 #柿 #秋 #富山 #食 #japan #Toyama
DONE	nf705ce597b9f	#ぎんなん #銀杏 #秋の味覚 #富山 #食 #japan #Toyama
DONE	n35e32ae59980	#消雪パイプ #雪 #富山 #インフラ #暮らし #japan #Toyama
DONE	nb81913749420	#なめこ #きのこ #秋の味覚 #富山 #食 #japan #Toyama
DONE	n76835f5bcfd0	#防災無線 #夕方のチャイム #富山 #暮らし #japan #Toyama
DONE	n59753a63ab8c	#さつまいも #焼き芋 #秋の味覚 #富山 #食 #japan #Toyama
DONE	n169c2e35ecc7	#立山 #紅葉 #富山 #秋 #自然 #japan #Toyama
DONE	n4cc2875ab83f	#水力発電 #黒部 #富山 #エネルギー #雪 #japan #Toyama
DONE	nb5d3ce4f256a	#秋刀魚 #さんま #秋の味覚 #富山 #食 #japan #Toyama
DONE	n7a6fe3bed780	#おはぎ #ぼたもち #お彼岸 #和菓子 #富山 #japan #Toyama
DONE	na5fac95f2eb2	#仏壇 #神棚 #富山 #暮らし #文化 #japan #Toyama
DONE	n8cc2ecbda487	#用水路 #水 #富山 #暮らし #インフラ #japan #Toyama
DONE	ne4e85cf2328f	#里芋 #根菜 #秋の味覚 #富山 #食 #japan #Toyama
DONE	n242960f609cf	#新蕎麦 #そば #秋 #富山 #食 #japan #Toyama
DONE	nc9bda3191cc5	#赤とんぼ #とんぼ #秋 #富山 #自然 #japan #Toyama
DONE	n4a3c7ea6a837	#あけび #秋の味覚 #山の幸 #富山 #食 #japan #Toyama
DONE	n3a7360655e2c	#運動会 #秋 #学校行事 #富山 #暮らし #japan #Toyama
DONE	n0d966e689b68	#松茸 #きのこ #秋の味覚 #富山 #食 #japan #Toyama
DONE	nc98f0aadab22	#稲刈り #田んぼ #秋 #富山 #農業 #japan #Toyama
